iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.002859,20.8925,-0.0180335,2.34728e+10,-3.72134e+09
2,0.002441,20.818,-0.018377,2.74924e+10,-3.65179e+09
3,0.0024381,20.9541,-0.018516,2.75251e+10,-3.62437e+09
4,0.0024483,20.8382,-0.0183899,2.74104e+10,-3.64922e+09
5,0.0024379,20.8193,-0.0183814,2.75273e+10,-3.65091e+09
6,0.0024384,20.7889,-0.0183505,2.75217e+10,-3.65706e+09
7,0.0024381,20.8417,-0.0184036,2.75251e+10,-3.64651e+09
8,0.0024375,20.8369,-0.0183994,2.75318e+10,-3.64734e+09
9,0.0024372,21.0504,-0.0186132,2.75352e+10,-3.60544e+09
10,0.0022467,21.0198,-0.0187731,2.987e+10,-3.57474e+09
11,0.0022562,20.8095,-0.0185533,2.97442e+10,-3.61709e+09
12,0.0022515,20.8145,-0.018563,2.98063e+10,-3.61519e+09
13,0.0022465,20.8689,-0.0186224,2.98726e+10,-3.60366e+09
14,0.0022483,20.8084,-0.0185601,2.98487e+10,-3.61576e+09
15,0.0022465,20.8125,-0.018566,2.98726e+10,-3.61461e+09
16,0.0022467,20.7797,-0.018533,2.987e+10,-3.62105e+09
