iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0005207,0.0638,0.0004569,1.57327e+07,1.79295e+07
2,4.56e-05,0.038,7.6e-06,1.79649e+08,1.07789e+09
3,3.71e-05,0.0325,4.6e-06,2.20809e+08,1.78087e+09
4,3.45e-05,0.0298,4.7e-06,2.37449e+08,1.74298e+09
5,3.63e-05,0.0313,5e-06,2.25675e+08,1.6384e+09
6,4.3e-05,0.037,6e-06,1.90512e+08,1.36533e+09
7,3.53e-05,0.0304,4.9e-06,2.32068e+08,1.67184e+09
8,4.5e-05,0.0402,4.8e-06,1.82044e+08,1.70667e+09
9,3.63e-05,0.0317,4.6e-06,2.25675e+08,1.78087e+09
10,3.35e-05,0.0285,5e-06,2.44537e+08,1.6384e+09
11,3.94e-05,0.0356,3.8e-06,2.07919e+08,2.15579e+09
12,3.34e-05,0.0291,4.3e-06,2.45269e+08,1.90512e+09
13,3.01e-05,0.0258,4.3e-06,2.72159e+08,1.90512e+09
14,3.32e-05,0.0295,3.7e-06,2.46747e+08,2.21405e+09
15,3.26e-05,0.0288,3.8e-06,2.51288e+08,2.15579e+09
16,3.35e-05,0.0292,4.3e-06,2.44537e+08,1.90512e+09
