iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.115629,0.0005,0.115628,7.25477e+07,7.2548e+07
2,0.12287,0.0002,0.12287,6.82723e+07,6.82724e+07
3,0.121613,0,0.121613,6.89779e+07,6.89779e+07
4,0.120135,0,0.120135,6.98266e+07,6.98266e+07
5,0.119721,0.0001,0.119721,7.0068e+07,7.00681e+07
6,0.118501,0,0.118501,7.07892e+07,7.07892e+07
7,0.117183,0,0.117183,7.15854e+07,7.15854e+07
8,0.115658,0.0002,0.115658,7.25294e+07,7.25295e+07
9,0.114647,0,0.114647,7.3169e+07,7.3169e+07
10,0.115229,0.0001,0.115229,7.27991e+07,7.27992e+07
11,0.113995,0.0001,0.113995,7.35873e+07,7.35873e+07
12,0.113226,0.0001,0.113225,7.40876e+07,7.40876e+07
13,0.113467,0.0001,0.113467,7.39297e+07,7.39297e+07
14,0.112343,0.0001,0.112343,7.46694e+07,7.46695e+07
15,0.11377,0.0001,0.11377,7.37328e+07,7.37328e+07
16,0.111035,0,0.111035,7.55491e+07,7.55491e+07
