iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0258514,0.0001,0.0258513,3.24493e+08,3.24495e+08
2,0.0252203,0.0001,0.0252202,3.32613e+08,3.32615e+08
3,0.0262276,0,0.0262276,3.19839e+08,3.19839e+08
4,0.0247931,0.0001,0.024793,3.38344e+08,3.38346e+08
5,0.0253694,0.0001,0.0253693,3.30659e+08,3.3066e+08
6,0.02433,0.0001,0.0243299,3.44785e+08,3.44786e+08
7,0.0247152,0.0001,0.0247151,3.39411e+08,3.39412e+08
8,0.0240702,0.0001,0.0240701,3.48506e+08,3.48507e+08
9,0.0255968,0.0001,0.0255967,3.27721e+08,3.27722e+08
10,0.0240728,0,0.0240728,3.48468e+08,3.48468e+08
11,0.0249492,0.0001,0.0249491,3.36228e+08,3.36229e+08
12,0.0249389,0.0001,0.0249388,3.36366e+08,3.36368e+08
13,0.0248115,0,0.0248115,3.38094e+08,3.38094e+08
14,0.023766,0.0001,0.0237659,3.52967e+08,3.52968e+08
15,0.0240736,0.0004,0.0240732,3.48457e+08,3.48463e+08
16,0.0240384,0.0001,0.0240383,3.48967e+08,3.48968e+08
