iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0026131,0.0001,0.002613,1.00319e+08,1.00323e+08
2,0.0015832,0.0001,0.0015831,1.65579e+08,1.65589e+08
3,0.0014643,0.0001,0.0014642,1.79023e+08,1.79036e+08
4,0.001398,0.0001,0.0013979,1.87514e+08,1.87527e+08
5,0.0014143,0.0001,0.0014142,1.85352e+08,1.85366e+08
6,0.0013404,0,0.0013404,1.95571e+08,1.95571e+08
7,0.0013592,0.0001,0.0013591,1.92866e+08,1.92881e+08
8,0.001236,0.0001,0.0012359,2.12091e+08,2.12108e+08
9,0.0013283,0.0001,0.0013282,1.97353e+08,1.97368e+08
10,0.0012236,0.0001,0.0012235,2.1424e+08,2.14257e+08
11,0.0012892,0,0.0012892,2.03339e+08,2.03339e+08
12,0.0013702,0,0.0013702,1.91318e+08,1.91318e+08
13,0.0014424,0,0.0014424,1.81742e+08,1.81742e+08
14,0.0013725,0.0001,0.0013724,1.90997e+08,1.91011e+08
15,0.0013544,0.0001,0.0013543,1.9355e+08,1.93564e+08
16,0.0011826,0,0.0011826,2.21668e+08,2.21668e+08
