iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0245572,0.0001,0.0245571,3.41595e+08,3.41596e+08
2,0.0253807,0.0001,0.0253806,3.30511e+08,3.30513e+08
3,0.0246039,0.0001,0.0246038,3.40946e+08,3.40948e+08
4,0.0237918,0.0002,0.0237916,3.52584e+08,3.52587e+08
5,0.0249789,0.0002,0.0249787,3.35828e+08,3.3583e+08
6,0.0234257,0.0001,0.0234256,3.58094e+08,3.58096e+08
7,0.0246797,0.0002,0.0246795,3.39899e+08,3.39902e+08
8,0.0236205,0.0001,0.0236204,3.55141e+08,3.55143e+08
9,0.0233247,0.0001,0.0233246,3.59645e+08,3.59646e+08
10,0.0229204,0.0006,0.0229198,3.65989e+08,3.65998e+08
11,0.0239996,0.0006,0.023999,3.49531e+08,3.4954e+08
12,0.0228224,0.0002,0.0228222,3.6756e+08,3.67564e+08
13,0.0259772,0.0001,0.0259771,3.22922e+08,3.22923e+08
14,0.0319937,0.0002,0.0319935,2.62196e+08,2.62197e+08
15,0.0236861,0.0001,0.023686,3.54157e+08,3.54159e+08
16,0.0247134,0.0002,0.0247132,3.39436e+08,3.39438e+08
