iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0491566,1481.32,-1.43216,2.18433e+10,-7.49734e+08
2,0.0405808,1464.04,-1.42346,2.64594e+10,-7.54317e+08
3,0.0382049,1452.56,-1.41436,2.81048e+10,-7.59172e+08
4,0.0364149,1455.89,-1.41948,2.94863e+10,-7.56435e+08
5,0.0356298,1457.15,-1.42152,3.01361e+10,-7.55347e+08
6,0.0356283,1469.12,-1.4335,3.01373e+10,-7.49037e+08
7,0.0423559,1474.6,-1.43224,2.53505e+10,-7.49692e+08
8,0.0393738,1464.28,-1.42491,2.72705e+10,-7.53553e+08
9,0.0374721,1464.88,-1.42741,2.86544e+10,-7.52231e+08
10,0.0528763,1513.91,-1.46104,2.03067e+10,-7.34918e+08
11,0.0529889,1424.58,-1.37159,2.02635e+10,-7.82845e+08
12,0.0452203,1414.49,-1.36927,2.37447e+10,-7.84172e+08
13,0.0435756,1402.28,-1.3587,2.46409e+10,-7.90271e+08
14,0.0393579,1394.39,-1.35504,2.72815e+10,-7.92409e+08
15,0.0367999,1393.58,-1.35678,2.91778e+10,-7.91388e+08
16,0.0357653,1392.01,-1.35624,3.00219e+10,-7.91702e+08
