iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0128943,10.5412,0.0023531,5.20454e+09,2.85193e+10
2,0.0106364,10.6038,3.26e-05,6.30936e+09,2.05855e+12
3,0.0107697,10.7409,2.88e-05,6.23127e+09,2.33017e+12
4,0.0105794,10.5506,2.88e-05,6.34335e+09,2.33017e+12
5,0.0106236,10.5951,2.85e-05,6.31696e+09,2.3547e+12
6,0.0105841,10.5563,2.78e-05,6.34054e+09,2.41399e+12
7,0.0105493,10.5215,2.78e-05,6.36145e+09,2.41399e+12
8,0.0105824,10.5554,2.7e-05,6.34155e+09,2.48551e+12
9,0.0105138,10.4863,2.75e-05,6.38293e+09,2.44032e+12
10,0.0105062,10.4773,2.89e-05,6.38755e+09,2.32211e+12
11,0.0105777,10.5489,2.88e-05,6.34437e+09,2.33017e+12
12,0.0105258,10.4927,3.31e-05,6.37565e+09,2.02746e+12
13,0.010518,10.4879,3.01e-05,6.38038e+09,2.22953e+12
14,0.0107207,10.6922,2.85e-05,6.25975e+09,2.3547e+12
15,0.0109548,10.9163,3.85e-05,6.12598e+09,1.74309e+12
16,0.0108806,10.774,0.0001066,6.16775e+09,6.29539e+11
