iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,17.408,0.0002,17.408,6.16808e+07,6.16808e+07
2,18.9911,0.0002,18.9911,5.65392e+07,5.65392e+07
3,19.0623,0.0002,19.0623,5.63282e+07,5.63282e+07
4,18.777,0.0003,18.777,5.7184e+07,5.7184e+07
5,18.9602,0.0002,18.9602,5.66313e+07,5.66313e+07
6,18.8022,0.0003,18.8022,5.71071e+07,5.71071e+07
7,18.5927,0.0002,18.5927,5.77507e+07,5.77507e+07
8,18.3302,0.0002,18.3302,5.85778e+07,5.85778e+07
9,18.2447,0.0002,18.2447,5.88524e+07,5.88524e+07
10,18.0655,0.0002,18.0655,5.94361e+07,5.94361e+07
11,17.9719,0.0002,17.9719,5.97454e+07,5.97454e+07
12,17.8969,0.0002,17.8969,5.99958e+07,5.99958e+07
13,17.8883,0.0002,17.8883,6.00247e+07,6.00247e+07
14,17.9352,0.0002,17.9352,5.9868e+07,5.9868e+07
15,17.6242,0.0001,17.6242,6.09243e+07,6.09243e+07
16,17.524,0.0001,17.524,6.12726e+07,6.12726e+07
