iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0008052,0.4083,0.0003969,1.30226e+09,2.64191e+09
2,0.0003587,0.3487,1e-05,2.92327e+09,1.04858e+11
3,0.0003682,0.3615,6.7e-06,2.84784e+09,1.56504e+11
4,0.0002896,0.2838,5.8e-06,3.62077e+09,1.80789e+11
5,0.0002835,0.2779,5.6e-06,3.69868e+09,1.87246e+11
6,0.0002773,0.2721,5.2e-06,3.78138e+09,2.01649e+11
7,0.0003099,0.304,5.9e-06,3.38359e+09,1.77725e+11
8,0.0003222,0.3162,6e-06,3.25443e+09,1.74763e+11
9,0.0002961,0.2903,5.8e-06,3.54129e+09,1.80789e+11
10,0.0002838,0.2783,5.5e-06,3.69477e+09,1.9065e+11
11,0.0002835,0.2776,5.9e-06,3.69868e+09,1.77725e+11
12,0.0002895,0.2775,1.2e-05,3.62202e+09,8.73813e+10
13,0.0002766,0.2715,5.1e-06,3.79095e+09,2.05603e+11
14,0.0002739,0.2695,4.4e-06,3.82832e+09,2.38313e+11
15,0.0002733,0.2688,4.5e-06,3.83672e+09,2.33017e+11
16,0.0002713,0.2668,4.5e-06,3.86501e+09,2.33017e+11
