iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0022365,2.0619,0.0001746,3.75077e+09,4.80447e+10
2,0.0014592,1.4467,1.25e-05,5.74877e+09,6.71089e+11
3,0.0015049,1.4965,8.4e-06,5.5742e+09,9.98644e+11
4,0.0018953,1.8855,9.8e-06,4.42601e+09,8.5598e+11
5,0.001596,1.5817,1.43e-05,5.25602e+09,5.86616e+11
6,0.0018359,1.8229,1.3e-05,4.56921e+09,6.45278e+11
7,0.0014421,1.4277,1.44e-05,5.81694e+09,5.82542e+11
8,0.0016413,1.6338,7.5e-06,5.11095e+09,1.11848e+12
9,0.0015045,1.4927,1.18e-05,5.57568e+09,7.10899e+11
10,0.0015016,1.4914,1.02e-05,5.58645e+09,8.22413e+11
11,0.0014518,1.4425,9.3e-06,5.77807e+09,9.02001e+11
12,0.001727,1.7105,1.65e-05,4.85733e+09,5.084e+11
13,0.001713,1.6948,1.82e-05,4.89703e+09,4.60913e+11
14,0.0017716,1.7594,1.22e-05,4.73505e+09,6.87591e+11
15,0.0015917,1.5755,1.62e-05,5.27022e+09,5.17815e+11
16,0.0017841,1.7714,1.27e-05,4.70187e+09,6.6052e+11
