iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0016582,0.0002,0.001658,4.9403e+06,4.94089e+06
2,0.0008375,0,0.0008375,9.78149e+06,9.78149e+06
3,0.0008198,0,0.0008198,9.99268e+06,9.99268e+06
4,0.0007797,0,0.0007797,1.05066e+07,1.05066e+07
5,0.0006996,0,0.0006996,1.17095e+07,1.17095e+07
6,0.0006793,0.0001,0.0006792,1.20595e+07,1.20612e+07
7,0.0007068,0.0001,0.0007067,1.15903e+07,1.15919e+07
8,0.0007604,0.0001,0.0007603,1.07733e+07,1.07747e+07
9,0.0008606,0.0001,0.0008605,9.51894e+06,9.52005e+06
10,0.0009245,0.0001,0.0009244,8.86101e+06,8.86196e+06
11,0.0009191,0.0001,0.000919,8.91307e+06,8.91404e+06
12,0.0007638,0.0001,0.0007637,1.07253e+07,1.07267e+07
13,0.000733,0.0001,0.0007329,1.1176e+07,1.11775e+07
14,0.0007924,0.0001,0.0007923,1.03382e+07,1.03395e+07
15,0.0007185,0.0001,0.0007184,1.14015e+07,1.14031e+07
16,0.0007107,0.0001,0.0007106,1.15267e+07,1.15283e+07
