iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0232693,0.0001,0.0232692,3.60501e+08,3.60503e+08
2,0.0227885,0.0001,0.0227884,3.68107e+08,3.68109e+08
3,0.0234929,0.0002,0.0234927,3.5707e+08,3.57073e+08
4,0.0226784,0.0001,0.0226783,3.69894e+08,3.69896e+08
5,0.0242288,0,0.0242288,3.46225e+08,3.46225e+08
6,0.0211737,0.0003,0.0211734,3.96181e+08,3.96186e+08
7,0.0210344,0.0001,0.0210343,3.98804e+08,3.98806e+08
8,0.0209362,0.0001,0.0209361,4.00675e+08,4.00677e+08
9,0.0210749,0,0.0210749,3.98038e+08,3.98038e+08
10,0.0214887,0.0001,0.0214886,3.90373e+08,3.90375e+08
11,0.0208961,0.0001,0.020896,4.01444e+08,4.01446e+08
12,0.020667,0.0001,0.0206669,4.05894e+08,4.05896e+08
13,0.0207641,0,0.0207641,4.03996e+08,4.03996e+08
14,0.0205047,0,0.0205047,4.09107e+08,4.09107e+08
15,0.0206719,0.0001,0.0206718,4.05798e+08,4.058e+08
16,0.0209548,0.0001,0.0209547,4.00319e+08,4.00321e+08
