iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0002787,0.0502,0.0002285,2.93936e+07,3.58512e+07
2,5.2e-06,0.0312,-2.6e-05,1.57538e+09,-3.15077e+08
3,4e-06,0.0357,-3.17e-05,2.048e+09,-2.58423e+08
4,3.9e-06,0.0272,-2.33e-05,2.10051e+09,-3.51588e+08
5,3.7e-06,0.027,-2.33e-05,2.21405e+09,-3.51588e+08
6,3.7e-06,0.0269,-2.32e-05,2.21405e+09,-3.53103e+08
7,4e-06,0.0267,-2.27e-05,2.048e+09,-3.60881e+08
8,3.8e-06,0.0283,-2.45e-05,2.15579e+09,-3.34367e+08
9,4.5e-06,0.0288,-2.43e-05,1.82044e+09,-3.37119e+08
10,3.6e-06,0.0268,-2.32e-05,2.27556e+09,-3.53103e+08
11,4e-06,0.0267,-2.27e-05,2.048e+09,-3.60881e+08
12,3.7e-06,0.0266,-2.29e-05,2.21405e+09,-3.57729e+08
13,4.2e-06,0.0274,-2.32e-05,1.95048e+09,-3.53103e+08
14,3.8e-06,0.0269,-2.31e-05,2.15579e+09,-3.54632e+08
15,4.3e-06,0.0275,-2.32e-05,1.90512e+09,-3.53103e+08
16,3.6e-06,0.0264,-2.28e-05,2.27556e+09,-3.59298e+08
