iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0358145,323.649,-0.287834,2.99806e+10,-3.73042e+09
2,0.0354046,324.019,-0.288614,3.03277e+10,-3.72033e+09
3,0.0354677,324.703,-0.289235,3.02738e+10,-3.71234e+09
4,0.0354034,323.558,-0.288155,3.03288e+10,-3.72626e+09
5,0.0354669,324.092,-0.288625,3.02745e+10,-3.72019e+09
6,0.0354661,324.508,-0.289042,3.02752e+10,-3.71483e+09
7,0.035403,323.561,-0.288158,3.03291e+10,-3.72623e+09
8,0.0354667,324.732,-0.289265,3.02746e+10,-3.71196e+09
9,0.035467,324.524,-0.289058,3.02744e+10,-3.71463e+09
10,0.0355792,324.227,-0.288647,3.01789e+10,-3.71991e+09
11,0.0357497,323.866,-0.288116,3.0035e+10,-3.72676e+09
12,0.0355802,322.173,-0.286593,3.01781e+10,-3.74658e+09
13,0.0356437,321.967,-0.286324,3.01243e+10,-3.7501e+09
14,0.0355788,322.316,-0.286737,3.01793e+10,-3.74469e+09
15,0.0356424,322.222,-0.28658,3.01254e+10,-3.74674e+09
16,0.0356425,321.581,-0.285938,3.01253e+10,-3.75515e+09
