iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0002384,14.4524,-0.014214,1.0996e+09,-1.84427e+07
2,5.99e-05,14.0648,-0.0140049,4.37636e+09,-1.8718e+07
3,5.44e-05,14.0404,-0.013986,4.81882e+09,-1.87433e+07
4,4.68e-05,14.1247,-0.0140779,5.60137e+09,-1.8621e+07
5,5.71e-05,13.8719,-0.0138148,4.59096e+09,-1.89756e+07
6,4.55e-05,14.24,-0.0141945,5.76141e+09,-1.8468e+07
7,4.76e-05,14.1061,-0.0140585,5.50723e+09,-1.86467e+07
8,4.77e-05,14.1528,-0.0141051,5.49568e+09,-1.85851e+07
9,4.68e-05,14.0089,-0.0139621,5.60137e+09,-1.87754e+07
10,7.06e-05,14.1211,-0.0140505,3.71309e+09,-1.86573e+07
11,4.57e-05,14.1381,-0.0140924,5.73619e+09,-1.86018e+07
12,4.79e-05,13.9546,-0.0139067,5.47273e+09,-1.88502e+07
13,4.69e-05,13.7326,-0.0136857,5.58942e+09,-1.91546e+07
14,4.61e-05,14.0626,-0.0140165,5.68642e+09,-1.87025e+07
15,4.65e-05,13.7327,-0.0136862,5.63751e+09,-1.91539e+07
16,4.69e-05,13.729,-0.0136821,5.58942e+09,-1.91596e+07
