iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0002932,0.1688,0.0001244,8.94079e+08,2.10727e+09
2,3.18e-05,0.1536,-0.0001218,8.24352e+09,-2.15225e+09
3,3.58e-05,0.1541,-0.0001183,7.32246e+09,-2.21593e+09
4,2.81e-05,0.1527,-0.0001246,9.32897e+09,-2.10388e+09
5,3.03e-05,0.1509,-0.0001206,8.65162e+09,-2.17367e+09
6,3.33e-05,0.1514,-0.0001181,7.87219e+09,-2.21968e+09
7,2.76e-05,0.15,-0.0001224,9.49797e+09,-2.1417e+09
8,2.75e-05,0.1514,-0.0001239,9.53251e+09,-2.11577e+09
9,2.93e-05,0.1502,-0.0001209,8.94689e+09,-2.16827e+09
10,2.78e-05,0.1566,-0.0001288,9.42964e+09,-2.03528e+09
11,2.76e-05,0.1485,-0.0001209,9.49797e+09,-2.16827e+09
12,2.75e-05,0.1586,-0.0001311,9.53251e+09,-1.99957e+09
13,2.86e-05,0.1483,-0.0001197,9.16587e+09,-2.19001e+09
14,2.79e-05,0.1494,-0.0001215,9.39584e+09,-2.15756e+09
15,2.7e-05,0.1576,-0.0001306,9.70904e+09,-2.00723e+09
16,2.68e-05,0.1515,-0.0001247,9.78149e+09,-2.1022e+09
