iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0019579,0.0002,0.0019577,4.18407e+06,4.1845e+06
2,0.0008659,0,0.0008659,9.46068e+06,9.46068e+06
3,0.0007398,0.0001,0.0007397,1.10733e+07,1.10748e+07
4,0.0006942,0.0001,0.0006941,1.18006e+07,1.18023e+07
5,0.0007079,0.0001,0.0007078,1.15723e+07,1.15739e+07
6,0.0006702,0.0001,0.0006701,1.22232e+07,1.2225e+07
7,0.0008785,0.0002,0.0008783,9.32499e+06,9.32711e+06
8,0.0007421,0.0001,0.000742,1.10389e+07,1.10404e+07
9,0.0006823,0.0001,0.0006822,1.20064e+07,1.20082e+07
10,0.0006516,0.0001,0.0006515,1.25721e+07,1.25741e+07
11,0.0007119,0,0.0007119,1.15072e+07,1.15072e+07
12,0.0006686,0.0001,0.0006685,1.22525e+07,1.22543e+07
13,0.0006725,0.0001,0.0006724,1.21814e+07,1.21832e+07
14,0.0006311,0.0001,0.000631,1.29805e+07,1.29826e+07
15,0.0006486,0.0001,0.0006485,1.26303e+07,1.26322e+07
16,0.0006665,0.0001,0.0006664,1.22911e+07,1.22929e+07
