iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,1.07703,0.0002,1.07703,6.23095e+07,6.23095e+07
2,1.17835,0.0002,1.17835,5.69514e+07,5.69514e+07
3,1.18092,0.0002,1.18092,5.68278e+07,5.68278e+07
4,1.16892,0.0001,1.16892,5.74111e+07,5.74111e+07
5,1.16209,0.0002,1.16209,5.77486e+07,5.77486e+07
6,1.15099,0.0002,1.15099,5.83053e+07,5.83054e+07
7,1.14369,0.0002,1.14369,5.86773e+07,5.86773e+07
8,1.13364,0.0002,1.13364,5.91978e+07,5.91978e+07
9,1.12801,0.0002,1.12801,5.94932e+07,5.94932e+07
10,1.12708,0.0002,1.12708,5.95422e+07,5.95422e+07
11,1.11839,0.0002,1.11839,6.00049e+07,6.00049e+07
12,1.10958,0.0005,1.10958,6.04814e+07,6.04814e+07
13,1.10314,0.0002,1.10314,6.08346e+07,6.08346e+07
14,1.09492,0.0002,1.09492,6.12913e+07,6.12913e+07
15,1.0893,0.0003,1.0893,6.16076e+07,6.16076e+07
16,1.08411,0.0002,1.08411,6.1902e+07,6.1902e+07
