iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0003802,0.0455,0.0003347,2.15466e+07,2.44756e+07
2,0.0002168,0.0315,0.0001853,3.7786e+07,4.42094e+07
3,7.01e-05,0.0242,4.59e-05,1.16862e+08,1.78475e+08
4,6.77e-05,0.0347,3.3e-05,1.21004e+08,2.48242e+08
5,6.87e-05,0.0261,4.26e-05,1.19243e+08,1.923e+08
6,6.79e-05,0.0235,4.44e-05,1.20648e+08,1.84505e+08
7,6.69e-05,0.0238,4.31e-05,1.22451e+08,1.9007e+08
8,6.97e-05,0.0248,4.49e-05,1.17532e+08,1.8245e+08
9,6.72e-05,0.0229,4.43e-05,1.21905e+08,1.84921e+08
10,6.69e-05,0.0231,4.38e-05,1.22451e+08,1.87032e+08
11,6.73e-05,0.0234,4.39e-05,1.21724e+08,1.86606e+08
12,6.67e-05,0.022,4.47e-05,1.22819e+08,1.83266e+08
13,6.7e-05,0.0233,4.37e-05,1.22269e+08,1.8746e+08
14,6.68e-05,0.0223,4.45e-05,1.22635e+08,1.8409e+08
15,6.74e-05,0.0226,4.48e-05,1.21543e+08,1.82857e+08
16,6.69e-05,0.0219,4.5e-05,1.22451e+08,1.82044e+08
