iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0004454,0.1085,0.0003369,5.88559e+08,7.78106e+08
2,9.88e-05,0.093,5.8e-06,2.65328e+09,4.51972e+10
3,8.9e-05,0.0847,4.3e-06,2.94544e+09,6.09637e+10
4,9.67e-05,0.0927,4e-06,2.7109e+09,6.5536e+10
5,8.88e-05,0.0847,4.1e-06,2.95207e+09,6.39376e+10
6,9.84e-05,0.0943,4.1e-06,2.66407e+09,6.39376e+10
7,0.0001203,0.1163,4e-06,2.17909e+09,6.5536e+10
8,0.0001299,0.1251,4.8e-06,2.01804e+09,5.46133e+10
9,0.0001307,0.1244,6.3e-06,2.00569e+09,4.16102e+10
10,0.0001261,0.1205,5.6e-06,2.07886e+09,4.68114e+10
11,0.0001298,0.1233,6.5e-06,2.0196e+09,4.03298e+10
12,0.0001289,0.1237,5.2e-06,2.0337e+09,5.04123e+10
13,0.000122,0.1176,4.4e-06,2.14872e+09,5.95782e+10
14,0.0001152,0.1113,3.9e-06,2.27556e+09,6.72164e+10
15,0.0001071,0.1033,3.8e-06,2.44766e+09,6.89853e+10
16,0.0001105,0.1063,4.2e-06,2.37234e+09,6.24152e+10
