iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.177778,0.0001,0.177777,3.77488e+08,3.77488e+08
2,0.20451,0.0002,0.20451,3.28145e+08,3.28145e+08
3,0.196129,0.0002,0.196128,3.42168e+08,3.42168e+08
4,0.169122,0.0004,0.169122,3.96807e+08,3.96808e+08
5,0.173865,0.0001,0.173864,3.85984e+08,3.85984e+08
6,0.173523,0.0004,0.173523,3.86743e+08,3.86744e+08
7,0.190003,0.0002,0.190003,3.53199e+08,3.53199e+08
8,0.166875,0.0002,0.166874,4.02151e+08,4.02152e+08
9,0.167367,0.0002,0.167367,4.00968e+08,4.00969e+08
10,0.168477,0.0001,0.168477,3.98326e+08,3.98326e+08
11,0.165276,0.0002,0.165275,4.06042e+08,4.06042e+08
12,0.169109,0.0001,0.169108,3.96839e+08,3.96839e+08
13,0.172721,0.0002,0.172721,3.88539e+08,3.88539e+08
14,0.164358,0.0001,0.164358,4.08309e+08,4.0831e+08
15,0.201696,0.0001,0.201696,3.32722e+08,3.32723e+08
16,0.182368,0.0002,0.182368,3.67985e+08,3.67986e+08
