iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,17.1958,0.0003,17.1958,6.24422e+07,6.24422e+07
2,18.8047,0.0002,18.8047,5.70995e+07,5.70995e+07
3,18.8905,0.0002,18.8905,5.68402e+07,5.68402e+07
4,18.5378,0.0002,18.5378,5.79217e+07,5.79217e+07
5,18.4385,0.0003,18.4385,5.82337e+07,5.82338e+07
6,18.3883,0.0001,18.3883,5.83927e+07,5.83927e+07
7,18.2975,0.0001,18.2975,5.86823e+07,5.86823e+07
8,18.1218,0.0002,18.1218,5.92515e+07,5.92515e+07
9,17.8699,0.0003,17.8699,6.00865e+07,6.00865e+07
10,17.7348,0.0001,17.7348,6.05444e+07,6.05444e+07
11,17.632,0.0001,17.632,6.08972e+07,6.08972e+07
12,17.7082,0.0002,17.7082,6.06355e+07,6.06355e+07
13,17.4976,0.0002,17.4976,6.13651e+07,6.13651e+07
14,17.4175,0.0002,17.4175,6.16471e+07,6.16471e+07
15,17.4562,0.0002,17.4562,6.15108e+07,6.15108e+07
16,17.3822,0.0003,17.3822,6.17726e+07,6.17726e+07
