iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,471.682,168.226,471.514,2.27641e+06,2.27722e+06
2,471.79,167.093,471.623,2.27589e+06,2.2767e+06
3,471.795,166.482,471.629,2.27586e+06,2.27667e+06
4,471.79,168.836,471.621,2.27589e+06,2.2767e+06
5,471.798,167.39,471.631,2.27585e+06,2.27666e+06
6,471.792,168.097,471.624,2.27588e+06,2.27669e+06
7,471.801,166.661,471.634,2.27584e+06,2.27664e+06
8,471.785,166.969,471.618,2.27591e+06,2.27672e+06
9,471.774,167.679,471.606,2.27597e+06,2.27678e+06
10,471.774,167.01,471.607,2.27597e+06,2.27677e+06
11,471.801,167.156,471.634,2.27583e+06,2.27664e+06
12,471.785,167.889,471.617,2.27591e+06,2.27672e+06
13,471.764,167.229,471.597,2.27601e+06,2.27682e+06
14,471.791,168.051,471.623,2.27589e+06,2.2767e+06
15,471.798,170.214,471.628,2.27585e+06,2.27667e+06
16,471.793,167.597,471.625,2.27588e+06,2.27668e+06
