iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0002851,29.1277,-0.0288426,3.67792e+09,-3.63551e+07
2,7.75e-05,28.8476,-0.0287701,1.353e+10,-3.64467e+07
3,9.48e-05,28.3679,-0.0282731,1.10609e+10,-3.70874e+07
4,9.79e-05,28.2057,-0.0281078,1.07107e+10,-3.73055e+07
5,8e-05,28.8106,-0.0287306,1.31072e+10,-3.64968e+07
6,8.06e-05,28.8114,-0.0287308,1.30096e+10,-3.64966e+07
7,7.64e-05,28.9767,-0.0289003,1.37248e+10,-3.62825e+07
8,7.66e-05,28.8445,-0.0287679,1.3689e+10,-3.64495e+07
9,7.53e-05,28.4703,-0.028395,1.39253e+10,-3.69282e+07
10,7.87e-05,28.7419,-0.0286632,1.33237e+10,-3.65827e+07
11,0.0001478,28.8763,-0.0287285,7.09456e+09,-3.64995e+07
12,9.85e-05,28.6485,-0.02855,1.06454e+10,-3.67277e+07
13,7.47e-05,28.8572,-0.0287825,1.40372e+10,-3.6431e+07
14,7.57e-05,29.1478,-0.0290721,1.38517e+10,-3.60681e+07
15,8.01e-05,28.6891,-0.028609,1.30908e+10,-3.6652e+07
16,7.4e-05,28.3171,-0.0282431,1.41699e+10,-3.71268e+07
