iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0019332,0.0997,0.0018335,1.35601e+08,1.42975e+08
2,0.0015424,0.1106,0.0014318,1.69959e+08,1.83087e+08
3,0.0015427,0.0913,0.0014514,1.69925e+08,1.80615e+08
4,0.001538,0.0894,0.0014486,1.70445e+08,1.80964e+08
5,0.0015386,0.088,0.0014506,1.70378e+08,1.80714e+08
6,0.001537,0.0977,0.0014393,1.70556e+08,1.82133e+08
7,0.0018442,0.0902,0.001754,1.42145e+08,1.49455e+08
8,0.0016383,0.0909,0.0015474,1.6001e+08,1.69409e+08
9,0.001537,0.0935,0.0014435,1.70556e+08,1.81603e+08
10,0.0015375,0.0881,0.0014494,1.705e+08,1.80864e+08
11,0.0015371,0.0854,0.0014517,1.70545e+08,1.80577e+08
12,0.0015373,0.0876,0.0014497,1.70522e+08,1.80826e+08
13,0.001537,0.093,0.001444,1.70556e+08,1.8154e+08
14,0.0015378,0.0883,0.0014495,1.70467e+08,1.80851e+08
15,0.001537,0.0862,0.0014508,1.70556e+08,1.80689e+08
16,0.0015369,0.0876,0.0014493,1.70567e+08,1.80876e+08
