iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0001969,0.0437,0.0001532,4.16049e+07,5.34726e+07
2,2.3e-05,0.0412,-1.82e-05,3.56174e+08,-4.5011e+08
3,1.99e-05,0.0317,-1.18e-05,4.11658e+08,-6.94237e+08
4,2.02e-05,0.0308,-1.06e-05,4.05545e+08,-7.7283e+08
5,1.9e-05,0.0312,-1.22e-05,4.31158e+08,-6.71475e+08
6,1.97e-05,0.0391,-1.94e-05,4.15838e+08,-4.22268e+08
7,2.06e-05,0.032,-1.14e-05,3.9767e+08,-7.18596e+08
8,1.96e-05,0.0314,-1.18e-05,4.17959e+08,-6.94237e+08
9,1.86e-05,0.0308,-1.22e-05,4.4043e+08,-6.71475e+08
10,1.91e-05,0.0297,-1.06e-05,4.28901e+08,-7.7283e+08
11,1.91e-05,0.0309,-1.18e-05,4.28901e+08,-6.94237e+08
12,1.92e-05,0.03,-1.08e-05,4.26667e+08,-7.58519e+08
13,1.87e-05,0.0312,-1.25e-05,4.38075e+08,-6.5536e+08
14,2e-05,0.0325,-1.25e-05,4.096e+08,-6.5536e+08
15,2.04e-05,0.0302,-9.8e-06,4.01569e+08,-8.35918e+08
16,1.9e-05,0.0301,-1.11e-05,4.31158e+08,-7.38018e+08
