iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.890041,0.0001,0.890041,7.53997e+07,7.53997e+07
2,0.967406,0.0001,0.967406,6.93699e+07,6.93699e+07
3,0.970499,0.0001,0.970499,6.91488e+07,6.91488e+07
4,0.954433,0.0001,0.954433,7.03128e+07,7.03128e+07
5,0.952862,0.0002,0.952862,7.04288e+07,7.04288e+07
6,0.946316,0.0002,0.946316,7.09159e+07,7.09159e+07
7,0.931144,0.0002,0.931144,7.20714e+07,7.20714e+07
8,0.927209,0.0002,0.927209,7.23773e+07,7.23773e+07
9,0.92195,0.0004,0.92195,7.27901e+07,7.27901e+07
10,0.909668,0.0001,0.909668,7.37729e+07,7.37729e+07
11,0.905596,0.0001,0.905596,7.41046e+07,7.41046e+07
12,0.908413,0.0001,0.908413,7.38748e+07,7.38749e+07
13,0.897398,0.0003,0.897397,7.47816e+07,7.47817e+07
14,0.900713,0.0002,0.900712,7.45064e+07,7.45064e+07
15,0.892078,0.0002,0.892078,7.52276e+07,7.52276e+07
16,0.887509,0.0002,0.887508,7.56149e+07,7.56149e+07
