iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0044117,0.0001,0.0044116,5.94202e+07,5.94215e+07
2,0.0048116,0,0.0048116,5.44817e+07,5.44817e+07
3,0.0048298,0,0.0048298,5.42764e+07,5.42764e+07
4,0.0047863,0.0001,0.0047862,5.47697e+07,5.47708e+07
5,0.0047689,0,0.0047689,5.49695e+07,5.49695e+07
6,0.0047074,0.0001,0.0047073,5.56876e+07,5.56888e+07
7,0.0046675,0,0.0046675,5.61637e+07,5.61637e+07
8,0.0046392,0.0001,0.0046391,5.65063e+07,5.65075e+07
9,0.0046167,0,0.0046167,5.67817e+07,5.67817e+07
10,0.0045933,0.0001,0.0045932,5.7071e+07,5.70722e+07
11,0.004563,0,0.004563,5.74499e+07,5.74499e+07
12,0.0045647,0.0001,0.0045646,5.74285e+07,5.74298e+07
13,0.0045053,0.0001,0.0045052,5.81857e+07,5.8187e+07
14,0.004474,0,0.004474,5.85928e+07,5.85928e+07
15,0.004454,0,0.004454,5.88559e+07,5.88559e+07
16,0.0044322,0.0001,0.0044321,5.91453e+07,5.91467e+07
