iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0002368,14.8286,-0.0145918,1.10703e+09,-1.79652e+07
2,0.0001268,14.5126,-0.0143858,2.06738e+09,-1.82224e+07
3,4.96e-05,14.3866,-0.014337,5.28516e+09,-1.82844e+07
4,4.93e-05,14.2339,-0.0141846,5.31732e+09,-1.84809e+07
5,4.69e-05,14.1784,-0.0141315,5.58942e+09,-1.85503e+07
6,4.82e-05,14.3427,-0.0142945,5.43867e+09,-1.83388e+07
7,5.27e-05,14.129,-0.0140763,4.97427e+09,-1.86231e+07
8,5.96e-05,14.3485,-0.0142889,4.39839e+09,-1.8346e+07
9,4.86e-05,14.1491,-0.0141005,5.39391e+09,-1.85911e+07
10,4.76e-05,14.4791,-0.0144315,5.50723e+09,-1.81647e+07
11,4.79e-05,14.0966,-0.0140487,5.47273e+09,-1.86597e+07
12,4.73e-05,14.3385,-0.0142912,5.54216e+09,-1.8343e+07
13,4.73e-05,13.9982,-0.0139509,5.54216e+09,-1.87905e+07
14,4.93e-05,14.2399,-0.0141906,5.31732e+09,-1.84731e+07
15,4.64e-05,14.2731,-0.0142267,5.64966e+09,-1.84262e+07
16,4.58e-05,14.8009,-0.0147551,5.72367e+09,-1.77663e+07
