iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0002646,0.107,0.0001576,9.90718e+08,1.66335e+09
2,5.5e-06,0.0938,-8.83e-05,4.76625e+10,-2.96879e+09
3,4.2e-06,0.0938,-8.96e-05,6.24152e+10,-2.92571e+09
4,4.3e-06,0.0855,-8.12e-05,6.09637e+10,-3.22837e+09
5,4e-06,0.0858,-8.18e-05,6.5536e+10,-3.20469e+09
6,3.9e-06,0.0839,-8e-05,6.72164e+10,-3.2768e+09
7,4.1e-06,0.0872,-8.31e-05,6.39376e+10,-3.15456e+09
8,4.8e-06,0.0862,-8.14e-05,5.46133e+10,-3.22044e+09
9,3.8e-06,0.0851,-8.13e-05,6.89853e+10,-3.2244e+09
10,3.8e-06,0.0895,-8.57e-05,6.89853e+10,-3.05886e+09
11,4.2e-06,0.0863,-8.21e-05,6.24152e+10,-3.19298e+09
12,3.9e-06,0.0844,-8.05e-05,6.72164e+10,-3.25645e+09
13,3.9e-06,0.0853,-8.14e-05,6.72164e+10,-3.22044e+09
14,5.7e-06,0.0869,-8.12e-05,4.59902e+10,-3.22837e+09
15,3.8e-06,0.0856,-8.18e-05,6.89853e+10,-3.20469e+09
16,3.8e-06,0.0845,-8.07e-05,6.89853e+10,-3.24838e+09
