iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.000816,0.2786,0.0005374,1.28502e+09,1.9512e+09
2,0.0003054,0.2764,2.9e-05,3.43345e+09,3.61578e+10
3,0.0002923,0.265,2.73e-05,3.58733e+09,3.84094e+10
4,0.0002922,0.2678,2.44e-05,3.58856e+09,4.29744e+10
5,0.0002903,0.2661,2.42e-05,3.61204e+09,4.33296e+10
6,0.0002922,0.2685,2.37e-05,3.58856e+09,4.42437e+10
7,0.000303,0.2769,2.61e-05,3.46065e+09,4.01753e+10
8,0.0003407,0.3154,2.53e-05,3.07771e+09,4.14457e+10
9,0.0004041,0.3788,2.53e-05,2.59484e+09,4.14457e+10
10,0.0005624,0.2801,0.0002823,1.86447e+09,3.7144e+09
11,0.0002971,0.2706,2.65e-05,3.52937e+09,3.95689e+10
12,0.000294,0.269,2.5e-05,3.56659e+09,4.1943e+10
13,0.0002907,0.2666,2.41e-05,3.60707e+09,4.35094e+10
14,0.0002969,0.2701,2.68e-05,3.53175e+09,3.9126e+10
15,0.0002946,0.2699,2.47e-05,3.55932e+09,4.24525e+10
16,0.0002975,0.2731,2.44e-05,3.52463e+09,4.29744e+10
