iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0170135,0.0001,0.0170134,6.1632e+07,6.16324e+07
2,0.0190778,0.0001,0.0190777,5.49632e+07,5.49634e+07
3,0.0188299,0.0001,0.0188298,5.56868e+07,5.5687e+07
4,0.0185686,0,0.0185686,5.64704e+07,5.64704e+07
5,0.0184178,0,0.0184178,5.69327e+07,5.69327e+07
6,0.0182103,0,0.0182103,5.75815e+07,5.75815e+07
7,0.0180646,0.0001,0.0180645,5.80459e+07,5.80462e+07
8,0.0179956,0,0.0179956,5.82685e+07,5.82685e+07
9,0.0179913,0,0.0179913,5.82824e+07,5.82824e+07
10,0.0176244,0,0.0176244,5.94957e+07,5.94957e+07
11,0.0176392,0,0.0176392,5.94458e+07,5.94458e+07
12,0.0175632,0.0001,0.0175631,5.9703e+07,5.97034e+07
13,0.0173458,0,0.0173458,6.04513e+07,6.04513e+07
14,0.017416,0.0001,0.0174159,6.02076e+07,6.0208e+07
15,0.0172306,0,0.0172306,6.08555e+07,6.08555e+07
16,0.0171892,0,0.0171892,6.1002e+07,6.1002e+07
