iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.00039,0.0621,0.0003279,2.10051e+07,2.49832e+07
2,5.89e-05,0.0263,3.26e-05,1.39083e+08,2.51288e+08
3,5.74e-05,0.0235,3.39e-05,1.42718e+08,2.41652e+08
4,5.59e-05,0.0228,3.31e-05,1.46547e+08,2.47492e+08
5,5.58e-05,0.0309,2.49e-05,1.4681e+08,3.28996e+08
6,5.04e-05,0.0235,2.69e-05,1.6254e+08,3.04535e+08
7,5.04e-05,0.0228,2.76e-05,1.6254e+08,2.96812e+08
8,5.52e-05,0.0238,3.14e-05,1.48406e+08,2.60892e+08
9,5.05e-05,0.023,2.75e-05,1.62218e+08,2.97891e+08
10,5.12e-05,0.0238,2.74e-05,1.6e+08,2.98978e+08
11,4.99e-05,0.0221,2.78e-05,1.64168e+08,2.94676e+08
12,5.3e-05,0.0235,2.95e-05,1.54566e+08,2.77695e+08
13,5.02e-05,0.0234,2.68e-05,1.63187e+08,3.05672e+08
14,5.45e-05,0.0291,2.54e-05,1.50312e+08,3.2252e+08
15,5.16e-05,0.0222,2.94e-05,1.5876e+08,2.78639e+08
16,5.02e-05,0.0354,1.48e-05,1.63187e+08,5.53514e+08
