iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0017182,0.0002,0.001718,4.76778e+06,4.76834e+06
2,0.0007935,0.0001,0.0007934,1.03239e+07,1.03252e+07
3,0.0007366,0.0001,0.0007365,1.11214e+07,1.11229e+07
4,0.0006318,0,0.0006318,1.29661e+07,1.29661e+07
5,0.0006346,0.0001,0.0006345,1.29089e+07,1.2911e+07
6,0.0006744,0.0001,0.0006743,1.21471e+07,1.21489e+07
7,0.0006622,0.0001,0.0006621,1.23709e+07,1.23728e+07
8,0.0007081,0.0001,0.000708,1.1569e+07,1.15706e+07
9,0.0007867,0.0001,0.0007866,1.04131e+07,1.04144e+07
10,0.0006649,0.0001,0.0006648,1.23206e+07,1.23225e+07
11,0.0006543,0,0.0006543,1.25203e+07,1.25203e+07
12,0.0006087,0.0002,0.0006085,1.34582e+07,1.34626e+07
13,0.0006642,0.0001,0.0006641,1.23336e+07,1.23355e+07
14,0.0006278,0.0001,0.0006277,1.30487e+07,1.30508e+07
15,0.0006369,0.0001,0.0006368,1.28623e+07,1.28643e+07
16,0.0006492,0,0.0006492,1.26186e+07,1.26186e+07
