iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.024431,0.0001,0.0244309,3.43359e+08,3.43361e+08
2,0.0225031,0,0.0225031,3.72776e+08,3.72776e+08
3,0.0232136,0.0001,0.0232135,3.61366e+08,3.61368e+08
4,0.0226027,0,0.0226027,3.71133e+08,3.71133e+08
5,0.0233354,0.0002,0.0233352,3.5948e+08,3.59483e+08
6,0.0222171,0.0001,0.022217,3.77574e+08,3.77576e+08
7,0.022084,0.0001,0.0220839,3.7985e+08,3.79852e+08
8,0.0225051,0.0002,0.0225049,3.72743e+08,3.72746e+08
9,0.0215171,0.0001,0.021517,3.89858e+08,3.8986e+08
10,0.0222607,0.0001,0.0222606,3.76835e+08,3.76837e+08
11,0.0220267,0,0.0220267,3.80838e+08,3.80838e+08
12,0.0214433,0.0001,0.0214432,3.91199e+08,3.91201e+08
13,0.0216924,0,0.0216924,3.86707e+08,3.86707e+08
14,0.0211676,0,0.0211676,3.96295e+08,3.96295e+08
15,0.0212899,0.0003,0.0212896,3.94018e+08,3.94024e+08
16,0.0210146,0.0001,0.0210145,3.9918e+08,3.99182e+08
