iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.112711,0.0001,0.112711,7.44256e+07,7.44257e+07
2,0.121812,0.0001,0.121812,6.8865e+07,6.8865e+07
3,0.121957,0.0001,0.121957,6.87833e+07,6.87834e+07
4,0.120384,0.0001,0.120383,6.96824e+07,6.96824e+07
5,0.120147,0.0002,0.120146,6.98198e+07,6.98199e+07
6,0.11854,0.0001,0.11854,7.07659e+07,7.0766e+07
7,0.117674,0,0.117674,7.12871e+07,7.12871e+07
8,0.116589,0,0.116589,7.19501e+07,7.19501e+07
9,0.115818,0,0.115818,7.2429e+07,7.2429e+07
10,0.115759,0.0001,0.115759,7.2466e+07,7.24661e+07
11,0.115188,0.0001,0.115188,7.28252e+07,7.28253e+07
12,0.113039,0.0001,0.113039,7.42101e+07,7.42101e+07
13,0.112554,0,0.112554,7.45294e+07,7.45294e+07
14,0.112106,0,0.112106,7.48272e+07,7.48272e+07
15,0.112861,0.0001,0.112861,7.43272e+07,7.43272e+07
16,0.11096,0,0.11096,7.56006e+07,7.56006e+07
