iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0005038,61.6416,-0.0611378,1.66507e+10,-1.37208e+08
2,0.0003131,61.7715,-0.0614584,2.67921e+10,-1.36492e+08
3,0.0003152,61.7777,-0.0614625,2.66136e+10,-1.36483e+08
4,0.0003114,60.9186,-0.0606072,2.69384e+10,-1.38409e+08
5,0.0003048,61.0924,-0.0607876,2.75217e+10,-1.37999e+08
6,0.0004161,61.5435,-0.0611274,2.01601e+10,-1.37232e+08
7,0.0003115,60.7056,-0.0603941,2.69297e+10,-1.38898e+08
8,0.0003077,60.9329,-0.0606252,2.72623e+10,-1.38368e+08
9,0.0003025,61.4983,-0.0611958,2.77309e+10,-1.37078e+08
10,0.0003028,60.8048,-0.060502,2.77035e+10,-1.3865e+08
11,0.0003001,60.5425,-0.0602424,2.79527e+10,-1.39248e+08
12,0.0003024,60.6545,-0.0603521,2.77401e+10,-1.38994e+08
13,0.0003167,60.2188,-0.0599021,2.64876e+10,-1.40039e+08
14,0.0003031,60.7887,-0.0604856,2.7676e+10,-1.38688e+08
15,0.0004119,61.5058,-0.0610939,2.03656e+10,-1.37307e+08
16,0.0003026,60.2896,-0.059987,2.77218e+10,-1.3984e+08
