iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.199905,174.948,0.0249572,5.37126e+09,4.30233e+10
2,0.17499,174.868,0.0001222,6.13602e+09,8.78676e+12
3,0.172465,172.34,0.0001243,6.22587e+09,8.63831e+12
4,0.17253,172.407,0.0001229,6.2235e+09,8.73671e+12
5,0.172502,172.379,0.0001232,6.22451e+09,8.71544e+12
6,0.173472,173.348,0.0001241,6.1897e+09,8.65223e+12
7,0.176747,176.623,0.0001242,6.07502e+09,8.64526e+12
8,0.173261,173.137,0.0001243,6.19725e+09,8.63831e+12
9,0.172572,172.451,0.0001211,6.22199e+09,8.86657e+12
10,0.172456,172.334,0.0001216,6.2262e+09,8.83011e+12
11,0.173755,173.636,0.0001189,6.17963e+09,9.03063e+12
12,0.172768,172.64,0.0001276,6.21494e+09,8.4149e+12
13,0.175698,175.574,0.0001247,6.11128e+09,8.6106e+12
14,0.173391,173.268,0.0001228,6.1926e+09,8.74383e+12
15,0.172436,172.316,0.0001199,6.22689e+09,8.95531e+12
16,0.173647,173.525,0.0001219,6.18347e+09,8.80838e+12
