iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0150071,0.0001,0.015007,6.9872e+07,6.98725e+07
2,0.0160515,0.0001,0.0160514,6.53257e+07,6.53261e+07
3,0.0161138,0.0005,0.0161133,6.50732e+07,6.50752e+07
4,0.0158864,0.0002,0.0158862,6.60046e+07,6.60055e+07
5,0.0157535,0.0001,0.0157534,6.65615e+07,6.65619e+07
6,0.0156259,0.0001,0.0156258,6.7105e+07,6.71054e+07
7,0.0155472,0.0001,0.0155471,6.74447e+07,6.74451e+07
8,0.0153836,0.0001,0.0153835,6.81619e+07,6.81624e+07
9,0.0155081,0.0002,0.0155079,6.76147e+07,6.76156e+07
10,0.0151541,0.0002,0.0151539,6.91942e+07,6.91951e+07
11,0.0150417,0.0001,0.0150416,6.97113e+07,6.97117e+07
12,0.0153058,0.0002,0.0153056,6.85084e+07,6.85093e+07
13,0.0148643,0.0002,0.0148641,7.05432e+07,7.05442e+07
14,0.0147782,0.0002,0.014778,7.09542e+07,7.09552e+07
15,0.0146925,0.0002,0.0146923,7.13681e+07,7.13691e+07
16,0.014584,0.0002,0.0145838,7.18991e+07,7.19001e+07
