iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.133289,131.55,0.0017396,5.03483e+08,3.85772e+10
2,0.132794,131.432,0.0013616,5.05361e+08,4.92868e+10
3,0.12986,128.581,0.0012796,5.16778e+08,5.24452e+10
4,0.132168,130.882,0.0012863,5.07753e+08,5.2172e+10
5,0.131281,129.999,0.0012822,5.11185e+08,5.23388e+10
6,0.152892,151.551,0.0013415,4.38929e+08,5.00252e+10
7,0.132242,130.897,0.0013447,5.07472e+08,4.99062e+10
8,0.136644,134.661,0.0019828,4.91122e+08,3.38455e+10
9,0.131502,130.149,0.0013523,5.10327e+08,4.96257e+10
10,0.135077,133.782,0.0012952,4.96819e+08,5.18135e+10
11,0.135075,133.719,0.0013552,4.96829e+08,4.95195e+10
12,0.133748,132.392,0.0013554,5.01757e+08,4.95122e+10
13,0.133361,132.076,0.0012852,5.03211e+08,5.22167e+10
14,0.132062,130.765,0.0012974,5.08161e+08,5.17257e+10
15,0.13237,131.025,0.0013447,5.06979e+08,4.99062e+10
16,0.131501,130.152,0.0013487,5.10329e+08,4.97582e+10
