iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.196629,196.417,0.0002119,5.46075e+09,5.06721e+12
2,0.171733,171.717,1.64e-05,6.25238e+09,6.54721e+13
3,0.175851,175.839,1.19e-05,6.10598e+09,9.02304e+13
4,0.171627,171.612,1.57e-05,6.25624e+09,6.83912e+13
5,0.172722,172.709,1.34e-05,6.21659e+09,8.013e+13
6,0.17146,171.448,1.2e-05,6.26233e+09,8.94785e+13
7,0.172153,172.141,1.21e-05,6.23713e+09,8.8739e+13
8,0.17182,171.804,1.53e-05,6.24924e+09,7.01792e+13
9,0.175639,175.619,2.09e-05,6.11333e+09,5.13752e+13
10,0.171748,171.736,1.24e-05,6.25183e+09,8.65921e+13
11,0.173404,173.382,2.23e-05,6.19213e+09,4.81499e+13
12,0.171672,171.649,2.37e-05,6.25461e+09,4.53056e+13
13,0.171954,171.942,1.21e-05,6.24435e+09,8.8739e+13
14,0.173102,173.09,1.19e-05,6.20293e+09,9.02304e+13
15,0.173603,173.59,1.26e-05,6.18504e+09,8.52176e+13
16,0.173631,173.619,1.15e-05,6.18406e+09,9.33689e+13
