iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0004307,0.0482,0.0003825,1.90202e+07,2.1417e+07
2,3.78e-05,0.032,5.8e-06,2.1672e+08,1.41241e+09
3,2.89e-05,0.0242,4.7e-06,2.8346e+08,1.74298e+09
4,3.13e-05,0.0273,4e-06,2.61725e+08,2.048e+09
5,3.05e-05,0.0255,5e-06,2.6859e+08,1.6384e+09
6,3.39e-05,0.0298,4.1e-06,2.41652e+08,1.99805e+09
7,3.15e-05,0.0263,5.2e-06,2.60063e+08,1.57538e+09
8,3.27e-05,0.0285,4.2e-06,2.5052e+08,1.95048e+09
9,3.32e-05,0.0289,4.3e-06,2.46747e+08,1.90512e+09
10,3.19e-05,0.0277,4.2e-06,2.56803e+08,1.95048e+09
11,3.59e-05,0.0316,4.3e-06,2.28189e+08,1.90512e+09
12,3.26e-05,0.0282,4.4e-06,2.51288e+08,1.86182e+09
13,2.93e-05,0.0249,4.4e-06,2.7959e+08,1.86182e+09
14,3.44e-05,0.0303,4.1e-06,2.3814e+08,1.99805e+09
15,2.95e-05,0.0251,4.4e-06,2.77695e+08,1.86182e+09
16,3.11e-05,0.027,4.1e-06,2.63408e+08,1.99805e+09
