iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0078986,7.6034,0.0002952,3.31887e+07,8.88022e+08
2,0.0081661,7.8838,0.0002823,3.21015e+07,9.28601e+08
3,0.0074727,7.349,0.0001237,3.50802e+07,2.11919e+09
4,0.0078436,7.7133,0.0001303,3.34214e+07,2.01185e+09
5,0.0077877,7.6617,0.000126,3.36613e+07,2.08051e+09
6,0.0077029,7.5849,0.000118,3.40319e+07,2.22156e+09
7,0.0077812,7.6541,0.0001271,3.36894e+07,2.0625e+09
8,0.0079315,7.793,0.0001385,3.3051e+07,1.89274e+09
9,0.0075837,7.453,0.0001307,3.45668e+07,2.00569e+09
10,0.0077249,7.6008,0.0001241,3.39349e+07,2.11236e+09
11,0.0076264,7.5041,0.0001223,3.43732e+07,2.14345e+09
12,0.00772,7.5991,0.0001209,3.39565e+07,2.16827e+09
13,0.0076223,7.4976,0.0001247,3.43917e+07,2.1022e+09
14,0.0077004,7.5767,0.0001237,3.40429e+07,2.11919e+09
15,0.0076091,7.4821,0.000127,3.44514e+07,2.06413e+09
16,0.0077954,7.673,0.0001224,3.3628e+07,2.1417e+09
