iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0036849,0,0.0036849,7.11401e+07,7.11401e+07
2,0.0039939,0.0001,0.0039938,6.56361e+07,6.56377e+07
3,0.0040021,0.0001,0.004002,6.55016e+07,6.55032e+07
4,0.0039352,0,0.0039352,6.66152e+07,6.66152e+07
5,0.0039414,0,0.0039414,6.65104e+07,6.65104e+07
6,0.0038903,0.0001,0.0038902,6.7384e+07,6.73857e+07
7,0.0038414,0,0.0038414,6.82418e+07,6.82418e+07
8,0.0038243,0,0.0038243,6.85469e+07,6.85469e+07
9,0.0037903,0,0.0037903,6.91618e+07,6.91618e+07
10,0.0037679,0,0.0037679,6.9573e+07,6.9573e+07
11,0.0037493,0,0.0037493,6.99181e+07,6.99181e+07
12,0.0037268,0,0.0037268,7.03402e+07,7.03402e+07
13,0.0037123,0.0001,0.0037122,7.0615e+07,7.06169e+07
14,0.0036675,0.0001,0.0036674,7.14776e+07,7.14795e+07
15,0.0035978,0.0001,0.0035977,7.28623e+07,7.28643e+07
16,0.0035799,0.0001,0.0035798,7.32266e+07,7.32287e+07
