iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0028007,0.0001,0.0028006,9.35995e+07,9.36028e+07
2,0.0016895,0.0001,0.0016894,1.55161e+08,1.5517e+08
3,0.0014929,0.0001,0.0014928,1.75594e+08,1.75606e+08
4,0.0012301,0.0001,0.00123,2.13108e+08,2.13125e+08
5,0.001255,0,0.001255,2.0888e+08,2.0888e+08
6,0.0014524,0.0001,0.0014523,1.8049e+08,1.80503e+08
7,0.0011765,0.0001,0.0011764,2.22817e+08,2.22836e+08
8,0.0014263,0.0002,0.0014261,1.83793e+08,1.83819e+08
9,0.0014531,0.0001,0.001453,1.80403e+08,1.80416e+08
10,0.0011856,0.0001,0.0011855,2.21107e+08,2.21125e+08
11,0.0012591,0,0.0012591,2.082e+08,2.082e+08
12,0.00114,0.0001,0.0011399,2.29951e+08,2.29971e+08
13,0.0012033,0.0001,0.0012032,2.17854e+08,2.17872e+08
14,0.0011125,0,0.0011125,2.35635e+08,2.35635e+08
15,0.0012352,0.0001,0.0012351,2.12228e+08,2.12245e+08
16,0.0011215,0.0001,0.0011214,2.33744e+08,2.33765e+08
