iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0002754,0.1808,9.46e-05,9.51866e+08,2.77108e+09
2,3.41e-05,0.1514,-0.0001173,7.68751e+09,-2.23482e+09
3,3.19e-05,0.15,-0.0001181,8.21768e+09,-2.21968e+09
4,3.76e-05,0.1481,-0.0001105,6.97191e+09,-2.37234e+09
5,3.02e-05,0.1481,-0.0001179,8.68026e+09,-2.22344e+09
6,3.11e-05,0.1511,-0.00012,8.42907e+09,-2.18453e+09
7,3.06e-05,0.1493,-0.0001187,8.5668e+09,-2.20846e+09
8,2.95e-05,0.1474,-0.0001179,8.88624e+09,-2.22344e+09
9,2.99e-05,0.1485,-0.0001186,8.76736e+09,-2.21032e+09
10,2.95e-05,0.1548,-0.0001253,8.88624e+09,-2.09213e+09
11,3.03e-05,0.1556,-0.0001253,8.65162e+09,-2.09213e+09
12,2.93e-05,0.1487,-0.0001194,8.94689e+09,-2.19551e+09
13,3e-05,0.1545,-0.0001245,8.73813e+09,-2.10557e+09
14,3.1e-05,0.1481,-0.0001171,8.45626e+09,-2.23863e+09
15,2.94e-05,0.1479,-0.0001185,8.91646e+09,-2.21219e+09
16,2.96e-05,0.1563,-0.0001267,8.85622e+09,-2.06901e+09
