iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0050716,0.0001,0.0050715,2.06754e+08,2.06759e+08
2,0.0038811,0,0.0038811,2.70175e+08,2.70175e+08
3,0.0038383,0,0.0038383,2.73188e+08,2.73188e+08
4,0.0042332,0.0001,0.0042331,2.47703e+08,2.47709e+08
5,0.0043037,0.0001,0.0043036,2.43645e+08,2.43651e+08
6,0.0041675,0.0001,0.0041674,2.51608e+08,2.51614e+08
7,0.0041022,0.0001,0.0041021,2.55613e+08,2.55619e+08
8,0.0038502,0.0001,0.0038501,2.72343e+08,2.7235e+08
9,0.0037285,0.0001,0.0037284,2.81233e+08,2.8124e+08
10,0.0039836,0.0001,0.0039835,2.63223e+08,2.6323e+08
11,0.003648,0.0001,0.0036479,2.87439e+08,2.87446e+08
12,0.0038971,0.0001,0.003897,2.69066e+08,2.69073e+08
13,0.0036173,0.0001,0.0036172,2.89878e+08,2.89886e+08
14,0.0039115,0.0001,0.0039114,2.68075e+08,2.68082e+08
15,0.0035861,0,0.0035861,2.924e+08,2.924e+08
16,0.0038299,0.0001,0.0038298,2.73787e+08,2.73794e+08
