iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0189374,18.6661,0.0002713,5.53706e+07,3.86501e+09
2,0.0181011,17.8882,0.0002129,5.79289e+07,4.9252e+09
3,0.018301,18.1597,0.0001413,5.72961e+07,7.42092e+09
4,0.018555,18.4134,0.0001416,5.65118e+07,7.4052e+09
5,0.0186834,18.5165,0.0001669,5.61234e+07,6.28266e+09
6,0.0186698,18.5181,0.0001517,5.61643e+07,6.91217e+09
7,0.0182982,18.147,0.0001512,5.73049e+07,6.93503e+09
8,0.0183885,18.0923,0.0002962,5.70235e+07,3.54009e+09
9,0.0191646,19.0136,0.000151,5.47142e+07,6.94421e+09
10,0.0189689,18.802,0.0001669,5.52787e+07,6.28266e+09
11,0.0181761,18.0931,8.3e-05,5.76898e+07,1.26334e+10
12,0.0182805,18.0983,0.0001822,5.73604e+07,5.75508e+09
13,0.0180344,17.8748,0.0001596,5.81431e+07,6.57003e+09
14,0.0173861,17.3024,8.37e-05,6.03112e+07,1.25278e+10
15,0.0180794,17.9189,0.0001605,5.79984e+07,6.53318e+09
16,0.0184014,18.3268,7.46e-05,5.69835e+07,1.4056e+10
