iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0003207,0.293,2.77e-05,3.26965e+09,3.78547e+10
2,5.7e-06,0.2793,-0.0002736,1.83961e+11,-3.83251e+09
3,4.3e-06,0.2721,-0.0002678,2.43855e+11,-3.91552e+09
4,5e-06,0.2764,-0.0002714,2.09715e+11,-3.86358e+09
5,4.3e-06,0.2776,-0.0002733,2.43855e+11,-3.83672e+09
6,4.2e-06,0.2732,-0.000269,2.49661e+11,-3.89805e+09
7,4.4e-06,0.2688,-0.0002644,2.38313e+11,-3.96587e+09
8,1.41e-05,0.2684,-0.0002543,7.43671e+10,-4.12338e+09
9,4.3e-06,0.2655,-0.0002612,2.43855e+11,-4.01446e+09
10,4.1e-06,0.266,-0.0002619,2.5575e+11,-4.00373e+09
11,4e-06,0.266,-0.000262,2.62144e+11,-4.0022e+09
12,3.9e-06,0.2698,-0.0002659,2.68866e+11,-3.9435e+09
13,4.6e-06,0.2737,-0.0002691,2.27951e+11,-3.8966e+09
14,3.9e-06,0.2712,-0.0002673,2.68866e+11,-3.92284e+09
15,4.2e-06,0.2688,-0.0002646,2.49661e+11,-3.96287e+09
16,5e-06,0.2686,-0.0002636,2.09715e+11,-3.97791e+09
