iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.014664,14.5098,0.0001542,4.57644e+09,4.35207e+11
2,0.0112763,11.2622,1.41e-05,5.95132e+09,4.75949e+12
3,0.0118672,11.8481,1.91e-05,5.65499e+09,3.51355e+12
4,0.0120664,12.0549,1.15e-05,5.56163e+09,5.83555e+12
5,0.0117338,11.7216,1.22e-05,5.71928e+09,5.50073e+12
6,0.0115053,11.4908,1.45e-05,5.83287e+09,4.6282e+12
7,0.0120395,12.0274,1.21e-05,5.57406e+09,5.54619e+12
8,0.0118736,11.8617,1.19e-05,5.65194e+09,5.6394e+12
9,0.0117188,11.7027,1.61e-05,5.7266e+09,4.16825e+12
10,0.0119225,11.908,1.45e-05,5.62876e+09,4.6282e+12
11,0.0118417,11.8299,1.18e-05,5.66716e+09,5.68719e+12
12,0.0117436,11.7239,1.97e-05,5.71451e+09,3.40654e+12
13,0.0112976,11.2823,1.53e-05,5.9401e+09,4.3862e+12
14,0.0120508,12.039,1.18e-05,5.56883e+09,5.68719e+12
15,0.012252,12.2396,1.24e-05,5.47738e+09,5.41201e+12
16,0.0114848,11.4727,1.21e-05,5.84328e+09,5.54619e+12
