iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0004168,0.0528,0.000364,1.96545e+07,2.25055e+07
2,4.14e-05,0.035,6.4e-06,1.97874e+08,1.28e+09
3,3.57e-05,0.0307,5e-06,2.29468e+08,1.6384e+09
4,3.56e-05,0.0308,4.8e-06,2.30112e+08,1.70667e+09
5,3.53e-05,0.0305,4.8e-06,2.32068e+08,1.70667e+09
6,3.51e-05,0.0304,4.7e-06,2.3339e+08,1.74298e+09
7,3.27e-05,0.0276,5.1e-06,2.5052e+08,1.60627e+09
8,7.84e-05,0.074,4.4e-06,1.0449e+08,1.86182e+09
9,3.63e-05,0.0309,5.4e-06,2.25675e+08,1.51704e+09
10,3.84e-05,0.0336,4.8e-06,2.13333e+08,1.70667e+09
11,3.26e-05,0.0275,5.1e-06,2.51288e+08,1.60627e+09
12,3.69e-05,0.0322,4.7e-06,2.22005e+08,1.74298e+09
13,6.89e-05,0.0477,2.12e-05,1.18897e+08,3.86415e+08
14,4.24e-05,0.035,7.4e-06,1.93208e+08,1.10703e+09
15,3.59e-05,0.0302,5.7e-06,2.28189e+08,1.43719e+09
16,3.37e-05,0.0289,4.8e-06,2.43086e+08,1.70667e+09
