iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0003002,0.0481,0.0002521,2.72885e+07,3.2495e+07
2,5.3e-06,0.0313,-2.6e-05,1.54566e+09,-3.15077e+08
3,3.9e-06,0.0244,-2.05e-05,2.10051e+09,-3.9961e+08
4,3.4e-06,0.0268,-2.34e-05,2.40941e+09,-3.50085e+08
5,3.9e-06,0.0239,-2e-05,2.10051e+09,-4.096e+08
6,1.2e-05,0.0319,-1.99e-05,6.82667e+08,-4.11658e+08
7,4.5e-06,0.0298,-2.53e-05,1.82044e+09,-3.23794e+08
8,3.8e-06,0.0242,-2.04e-05,2.15579e+09,-4.01569e+08
9,3.6e-06,0.0264,-2.28e-05,2.27556e+09,-3.59298e+08
10,3.9e-06,0.0245,-2.06e-05,2.10051e+09,-3.9767e+08
11,3.3e-06,0.0232,-1.99e-05,2.48242e+09,-4.11658e+08
12,3.5e-06,0.0264,-2.29e-05,2.34057e+09,-3.57729e+08
13,3.6e-06,0.0247,-2.11e-05,2.27556e+09,-3.88246e+08
14,3.7e-06,0.0273,-2.36e-05,2.21405e+09,-3.47119e+08
15,3.4e-06,0.0266,-2.32e-05,2.40941e+09,-3.53103e+08
16,3.7e-06,0.0346,-3.09e-05,2.21405e+09,-2.65113e+08
