iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0080006,7.7357,0.0002649,3.27655e+07,9.89596e+08
2,0.0079619,7.8349,0.000127,3.29248e+07,2.06413e+09
3,0.0078724,7.7458,0.0001266,3.32991e+07,2.07065e+09
4,0.0078743,7.7495,0.0001248,3.32911e+07,2.10051e+09
5,0.0076902,7.5636,0.0001266,3.40881e+07,2.07065e+09
6,0.0078723,7.7521,0.0001202,3.32995e+07,2.1809e+09
7,0.0076886,7.564,0.0001246,3.40952e+07,2.10388e+09
8,0.0072791,7.2274,5.17e-05,3.60132e+07,5.07048e+09
9,0.007157,7.1083,4.87e-05,3.66276e+07,5.38283e+09
10,0.0071778,7.1313,4.65e-05,3.65215e+07,5.63751e+09
11,0.0071467,7.0925,5.42e-05,3.66804e+07,4.83661e+09
12,0.0074081,7.3595,4.86e-05,3.53861e+07,5.39391e+09
13,0.0077217,7.6025,0.0001192,3.3949e+07,2.19919e+09
14,0.0073496,7.2998,4.98e-05,3.56678e+07,5.26394e+09
15,0.0072471,7.2001,4.7e-05,3.61723e+07,5.57753e+09
16,0.0072493,7.1948,5.45e-05,3.61613e+07,4.80998e+09
