iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0024989,0.0001,0.0024988,1.04904e+08,1.04908e+08
2,0.001366,0,0.001366,1.91906e+08,1.91906e+08
3,0.0014729,0.0001,0.0014728,1.77978e+08,1.7799e+08
4,0.0012288,0.0001,0.0012287,2.13333e+08,2.13351e+08
5,0.0013123,0.0001,0.0013122,1.99759e+08,1.99774e+08
6,0.0012498,0.0001,0.0012497,2.09749e+08,2.09766e+08
7,0.0013021,0.0001,0.001302,2.01324e+08,2.01339e+08
8,0.0012538,0.0001,0.0012537,2.0908e+08,2.09096e+08
9,0.0013605,0.0001,0.0013604,1.92682e+08,1.92696e+08
10,0.001243,0.0001,0.0012429,2.10896e+08,2.10913e+08
11,0.0012775,0,0.0012775,2.05201e+08,2.05201e+08
12,0.0011612,0,0.0011612,2.25753e+08,2.25753e+08
13,0.0012532,0.0001,0.0012531,2.0918e+08,2.09196e+08
14,0.0011557,0.0001,0.0011556,2.26827e+08,2.26847e+08
15,0.0012435,0,0.0012435,2.10811e+08,2.10811e+08
16,0.0010922,0.0001,0.0010921,2.40015e+08,2.40037e+08
