iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,14.5543,0.0002,14.5543,7.37748e+07,7.37748e+07
2,15.7794,0.0005,15.7794,6.80469e+07,6.80469e+07
3,15.7835,0.0002,15.7835,6.80296e+07,6.80296e+07
4,15.5291,0.0002,15.5291,6.91439e+07,6.91439e+07
5,15.4868,0.0001,15.4868,6.93329e+07,6.93329e+07
6,15.3304,0.0002,15.3304,7.00402e+07,7.00402e+07
7,15.2059,0.0003,15.2059,7.06135e+07,7.06135e+07
8,15.0205,0.0002,15.0205,7.14852e+07,7.14852e+07
9,14.9104,0.0002,14.9104,7.20132e+07,7.20132e+07
10,14.8945,0.0002,14.8945,7.209e+07,7.209e+07
11,14.7785,0.0001,14.7785,7.26557e+07,7.26557e+07
12,14.701,0.0001,14.701,7.30385e+07,7.30385e+07
13,14.6091,0.0002,14.6091,7.3498e+07,7.3498e+07
14,14.5222,0.0002,14.5222,7.3938e+07,7.3938e+07
15,14.4381,0.0002,14.4381,7.43688e+07,7.43688e+07
16,14.3375,0.0005,14.3375,7.48906e+07,7.48906e+07
