iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0004221,0.1051,0.000317,6.21047e+08,8.26953e+08
2,9.77e-05,0.0917,6e-06,2.68315e+09,4.36907e+10
3,0.0001018,0.0977,4.1e-06,2.57509e+09,6.39376e+10
4,9.46e-05,0.0894,5.2e-06,2.77108e+09,5.04123e+10
5,9.31e-05,0.0888,4.3e-06,2.81573e+09,6.09637e+10
6,8.95e-05,0.0856,3.9e-06,2.92898e+09,6.72164e+10
7,9.56e-05,0.0917,3.9e-06,2.74209e+09,6.72164e+10
8,9.05e-05,0.0862,4.3e-06,2.89662e+09,6.09637e+10
9,8.86e-05,0.0847,3.9e-06,2.95874e+09,6.72164e+10
10,8.84e-05,0.0845,3.9e-06,2.96543e+09,6.72164e+10
11,8.89e-05,0.0848,4.1e-06,2.94875e+09,6.39376e+10
12,9.37e-05,0.0888,4.9e-06,2.79769e+09,5.34988e+10
13,9.03e-05,0.0861,4.2e-06,2.90303e+09,6.24152e+10
14,9.58e-05,0.0918,4e-06,2.73637e+09,6.5536e+10
15,9.06e-05,0.0864,4.2e-06,2.89342e+09,6.24152e+10
16,8.85e-05,0.0845,4e-06,2.96208e+09,6.5536e+10
