iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0145095,0.0002,0.0145093,7.22682e+07,7.22692e+07
2,0.0156506,0,0.0156506,6.69991e+07,6.69991e+07
3,0.0155724,0,0.0155724,6.73355e+07,6.73355e+07
4,0.0153646,0.0001,0.0153645,6.82462e+07,6.82467e+07
5,0.015194,0,0.015194,6.90125e+07,6.90125e+07
6,0.0150074,0,0.0150074,6.98706e+07,6.98706e+07
7,0.0150604,0,0.0150604,6.96247e+07,6.96247e+07
8,0.0148537,0.0001,0.0148536,7.05936e+07,7.05941e+07
9,0.0147998,0,0.0147998,7.08507e+07,7.08507e+07
10,0.0147092,0.0001,0.0147091,7.12871e+07,7.12876e+07
11,0.0145997,0.0001,0.0145996,7.18217e+07,7.18222e+07
12,0.01445,0.0001,0.0144499,7.25658e+07,7.25663e+07
13,0.0143957,0.0001,0.0143956,7.28395e+07,7.284e+07
14,0.0142735,0,0.0142735,7.34631e+07,7.34631e+07
15,0.0142082,0,0.0142082,7.38008e+07,7.38008e+07
16,0.0141713,0.0001,0.0141712,7.39929e+07,7.39935e+07
