iterationNumber,iterationDuration(s),cellsPerSecond
1,0.002709,9.67678e+07
2,0.0013259,1.9771e+08
3,0.0012934,2.02678e+08
4,0.0012662,2.07032e+08
5,0.001237,2.11919e+08
6,0.0011563,2.26709e+08
7,0.0012324,2.1271e+08
8,0.001152,2.27556e+08
9,0.0011519,2.27575e+08
10,0.0011573,2.26513e+08
11,0.0011867,2.20902e+08
12,0.0011147,2.3517e+08
13,0.0012813,2.04592e+08
14,0.0011318,2.31617e+08
15,0.0011904,2.20215e+08
16,0.0012283,2.1342e+08
