iterationNumber,iterationDuration(s),cellsPerSecond
1,0.0013677,1.91668e+08
2,0.0002921,8.97446e+08
3,0.0002847,9.20773e+08
4,0.0002983,8.78793e+08
5,0.0002446,1.07173e+09
6,0.0002458,1.06649e+09
7,0.0002466,1.06303e+09
8,0.0002467,1.0626e+09
9,0.0002459,1.06606e+09
10,0.000245,1.06998e+09
11,0.0002266,1.15686e+09
12,0.0002187,1.19865e+09
13,0.0002204,1.1894e+09
14,0.0002195,1.19428e+09
15,0.0002202,1.19048e+09
16,0.0002173,1.20637e+09
