iterationNumber,iterationDuration(s),cellsPerSecond
1,0.0002933,2.79304e+07
2,4.91e-05,1.66843e+08
3,4.18e-05,1.95981e+08
4,4.15e-05,1.97398e+08
5,4.16e-05,1.96923e+08
6,4.11e-05,1.99319e+08
7,4.06e-05,2.01773e+08
8,4.11e-05,1.99319e+08
9,4.11e-05,1.99319e+08
10,4.07e-05,2.01278e+08
11,4.02e-05,2.03781e+08
12,4.07e-05,2.01278e+08
13,3.98e-05,2.05829e+08
14,4.05e-05,2.02272e+08
15,4.03e-05,2.03275e+08
16,4.02e-05,2.03781e+08
