iterationNumber,iterationDuration(s),cellsPerSecond
1,0.0003285,7.98003e+08
2,7.47e-05,3.50929e+09
3,6.87e-05,3.81578e+09
4,6.85e-05,3.82692e+09
5,6.94e-05,3.77729e+09
6,6.95e-05,3.77186e+09
7,6.82e-05,3.84375e+09
8,6.81e-05,3.8494e+09
9,6.84e-05,3.83251e+09
10,6.88e-05,3.81023e+09
11,6.84e-05,3.83251e+09
12,6.81e-05,3.8494e+09
13,6.84e-05,3.83251e+09
14,6.81e-05,3.8494e+09
15,6.74e-05,3.88938e+09
16,7e-05,3.74491e+09
