iterationNumber,iterationDuration(s),cellsPerSecond
1,0.0157191,6.67071e+07
2,0.0173298,6.05071e+07
3,0.0171545,6.11254e+07
4,0.0169868,6.17289e+07
5,0.016894,6.2068e+07
6,0.0166847,6.28466e+07
7,0.0164389,6.37863e+07
8,0.0166027,6.3157e+07
9,0.0169528,6.18527e+07
10,0.0164444,6.37649e+07
11,0.0162088,6.46918e+07
12,0.0161355,6.49857e+07
13,0.0161072,6.50998e+07
14,0.015704,6.67713e+07
15,0.0154785,6.7744e+07
16,0.0155743,6.73273e+07
