iterationNumber,iterationDuration(s),cellsPerSecond
1,0.0004141,2.53218e+09
2,0.0002154,4.86804e+09
3,0.0002108,4.97427e+09
4,0.0002098,4.99798e+09
5,0.0002092,5.01231e+09
6,0.0002095,5.00514e+09
7,0.0002092,5.01231e+09
8,0.0002084,5.03155e+09
9,0.0002086,5.02673e+09
10,0.0002094,5.00753e+09
11,0.0002146,4.88619e+09
12,0.0002095,5.00514e+09
13,0.000209,5.01711e+09
14,0.0002088,5.02192e+09
15,0.0002109,4.97191e+09
16,0.0002092,5.01231e+09
